device=cuda:0 OFFLINE post-op tu cache ./fill. P0=fill@rule (control 0.3748), P1=P0 | holes@p95(gain1.0). Zero hằng số mới, không GT, không per-cat.
      012_shift_1.png: GT=73k  điền_P0=0k  thêm_P1=243k
      012_shift_3.png: GT=73k  điền_P0=0k  thêm_P1=203k
      010_overexposed.png: GT=69k  điền_P0=0k  thêm_P1=0k
      010_regular.png: GT=69k  điền_P0=0k  thêm_P1=0k
      010_shift_2.png: GT=69k  điền_P0=0k  thêm_P1=436k
  [walnuts] cache n=150 thr=43.976
    [walnuts] F1@rule P0=0.6775  P1=0.6566  Δ=-0.0208
      002_overexposed.png: GT=58k  điền_P0=0k  thêm_P1=0k
      011_shift_3.png: GT=61k  điền_P0=0k  thêm_P1=0k
      007_underexposed.png: GT=76k  điền_P0=0k  thêm_P1=2k
      014_shift_3.png: GT=145k  điền_P0=0k  thêm_P1=0k
      002_shift_2.png: GT=58k  điền_P0=0k  thêm_P1=2k
      011_overexposed.png: GT=61k  điền_P0=0k  thêm_P1=2k
      008_shift_2.png: GT=261k  điền_P0=7k  thêm_P1=2k
      010_shift_1.png: GT=32k  điền_P0=0k  thêm_P1=0k
      013_regular.png: GT=119k  điền_P0=0k  thêm_P1=5k
      001_underexposed.png: GT=147k  điền_P0=0k  thêm_P1=0k
      010_regular.png: GT=32k  điền_P0=0k  thêm_P1=0k
      006_shift_2.png: GT=57k  điền_P0=0k  thêm_P1=3k
      010_overexposed.png: GT=32k  điền_P0=0k  thêm_P1=0k
      007_shift_3.png: GT=76k  điền_P0=0k  thêm_P1=3k
      011_regular.png: GT=61k  điền_P0=0k  thêm_P1=2k
      013_underexposed.png: GT=119k  điền_P0=0k  thêm_P1=8k
      004_shift_3.png: GT=308k  điền_P0=0k  thêm_P1=6k
      013_overexposed.png: GT=119k  điền_P0=0k  thêm_P1=3k
      011_shift_1.png: GT=61k  điền_P0=0k  thêm_P1=9k
      002_underexposed.png: GT=58k  điền_P0=0k  thêm_P1=0k
      009_shift_1.png: GT=91k  điền_P0=0k  thêm_P1=4k
      008_overexposed.png: GT=261k  điền_P0=11k  thêm_P1=7k
      010_underexposed.png: GT=32k  điền_P0=0k  thêm_P1=0k
      010_shift_2.png: GT=32k  điền_P0=0k  thêm_P1=0k
      004_shift_2.png: GT=308k  điền_P0=0k  thêm_P1=0k
      009_underexposed.png: GT=91k  điền_P0=0k  thêm_P1=0k
      004_shift_1.png: GT=308k  điền_P0=0k  thêm_P1=11k
      001_regular.png: GT=147k  điền_P0=0k  thêm_P1=0k
      009_regular.png: GT=91k  điền_P0=0k  thêm_P1=3k
      006_underexposed.png: GT=57k  điền_P0=0k  thêm_P1=2k
      008_shift_1.png: GT=261k  điền_P0=9k  thêm_P1=8k
      013_shift_1.png: GT=119k  điền_P0=0k  thêm_P1=6k
      006_overexposed.png: GT=57k  điền_P0=0k  thêm_P1=2k
      011_underexposed.png: GT=61k  điền_P0=0k  thêm_P1=1k
      014_overexposed.png: GT=145k  điền_P0=0k  thêm_P1=2k
      006_shift_1.png: GT=57k  điền_P0=0k  thêm_P1=0k
      001_overexposed.png: GT=147k  điền_P0=0k  thêm_P1=1k
      002_shift_3.png: GT=58k  điền_P0=0k  thêm_P1=5k
      002_regular.png: GT=58k  điền_P0=0k  thêm_P1=0k
      013_shift_2.png: GT=119k  điền_P0=0k  thêm_P1=12k
      014_regular.png: GT=145k  điền_P0=0k  thêm_P1=0k
      009_overexposed.png: GT=91k  điền_P0=0k  thêm_P1=2k
      008_regular.png: GT=261k  điền_P0=10k  thêm_P1=11k
      007_shift_2.png: GT=76k  điền_P0=0k  thêm_P1=6k
      006_shift_3.png: GT=57k  điền_P0=0k  thêm_P1=1k
      007_overexposed.png: GT=76k  điền_P0=0k  thêm_P1=1k
      007_shift_1.png: GT=76k  điền_P0=0k  thêm_P1=27k
      002_shift_1.png: GT=58k  điền_P0=0k  thêm_P1=1k
      004_regular.png: GT=308k  điền_P0=0k  thêm_P1=1k
      014_underexposed.png: GT=145k  điền_P0=0k  thêm_P1=0k
      008_shift_3.png: GT=261k  điền_P0=8k  thêm_P1=6k
      001_shift_2.png: GT=147k  điền_P0=0k  thêm_P1=0k
      001_shift_3.png: GT=147k  điền_P0=0k  thêm_P1=0k
      001_shift_1.png: GT=147k  điền_P0=0k  thêm_P1=0k
      004_underexposed.png: GT=308k  điền_P0=0k  thêm_P1=1k
      011_shift_2.png: GT=61k  điền_P0=0k  thêm_P1=2k
      014_shift_2.png: GT=145k  điền_P0=0k  thêm_P1=1k
      014_shift_1.png: GT=145k  điền_P0=0k  thêm_P1=2k
      006_regular.png: GT=57k  điền_P0=0k  thêm_P1=2k
      007_regular.png: GT=76k  điền_P0=0k  thêm_P1=2k
      009_shift_3.png: GT=91k  điền_P0=0k  thêm_P1=8k
      010_shift_3.png: GT=32k  điền_P0=0k  thêm_P1=0k
      013_shift_3.png: GT=119k  điền_P0=0k  thêm_P1=11k
      009_shift_2.png: GT=91k  điền_P0=0k  thêm_P1=3k
      004_overexposed.png: GT=308k  điền_P0=0k  thêm_P1=0k
      008_underexposed.png: GT=261k  điền_P0=9k  thêm_P1=11k

====================================================================================
===== MEAN (FULL test_public, offline cache) =====
  F1@rule: P0=0.3748  P1=0.3749  Δ=+0.0001
  cat tụt >0.02: [('sheet_metal', -0.1051), ('fruit_jelly', -0.0201), ('vial', -0.0241), ('wallplugs', -0.1413), ('walnuts', -0.0208)]

ĐỌC (pre-registered): (0) P0 phải = 0.3748. (1) P1 VÀO nếu Δmean >= +0.010 VÀ không cat tụt >0.02. (2) fabric debug: P1 điền >= 5/6 ảnh 000? KHÔNG tune trong run.
